label,count,month
POS,2,06/01/2005
POS,0,07/01/2005
POS,1,08/01/2005
POS,1,02/01/2006
POS,1,04/01/2006
POS,1,06/01/2006
POS,2,07/01/2006
POS,2,08/01/2006
POS,0,09/01/2006
POS,1,10/01/2006
POS,3,01/01/2007
POS,2,02/01/2007
POS,1,03/01/2007
POS,9,04/01/2007
POS,3,05/01/2007
POS,3,07/01/2007
POS,3,08/01/2007
POS,1,09/01/2007
POS,1,10/01/2007
POS,2,11/01/2007
POS,1,12/01/2007
POS,2,02/01/2008
POS,2,03/01/2008
POS,3,04/01/2008
POS,3,05/01/2008
POS,2,06/01/2008
POS,5,07/01/2008
POS,3,08/01/2008
POS,3,09/01/2008
POS,2,10/01/2008
POS,1,11/01/2008
POS,2,01/01/2009
POS,4,02/01/2009
POS,6,04/01/2009
POS,1,05/01/2009
POS,7,06/01/2009
POS,4,07/01/2009
POS,4,08/01/2009
POS,4,09/01/2009
POS,6,10/01/2009
POS,3,11/01/2009
POS,3,12/01/2009
POS,1,01/01/2010
POS,2,02/01/2010
POS,6,03/01/2010
POS,3,04/01/2010
POS,6,05/01/2010
POS,5,06/01/2010
POS,7,07/01/2010
POS,3,08/01/2010
POS,3,09/01/2010
POS,8,10/01/2010
POS,2,11/01/2010
POS,2,12/01/2010
POS,4,01/01/2011
POS,4,02/01/2011
POS,2,03/01/2011
POS,7,04/01/2011
POS,5,05/01/2011
POS,8,06/01/2011
POS,4,07/01/2011
POS,4,08/01/2011
POS,3,09/01/2011
POS,4,10/01/2011
POS,6,11/01/2011
POS,1,12/01/2011
POS,9,01/01/2012
POS,3,02/01/2012
POS,9,03/01/2012
POS,12,04/01/2012
POS,10,05/01/2012
POS,9,06/01/2012
POS,13,07/01/2012
POS,5,08/01/2012
POS,8,09/01/2012
POS,11,10/01/2012
POS,9,11/01/2012
POS,3,12/01/2012
NEG,0,06/01/2005
NEG,1,07/01/2005
NEG,0,08/01/2005
NEG,0,02/01/2006
NEG,0,04/01/2006
NEG,0,06/01/2006
NEG,0,07/01/2006
NEG,0,08/01/2006
NEG,1,09/01/2006
NEG,1,10/01/2006
NEG,0,01/01/2007
NEG,0,02/01/2007
NEG,0,03/01/2007
NEG,1,04/01/2007
NEG,0,05/01/2007
NEG,0,07/01/2007
NEG,1,08/01/2007
NEG,0,09/01/2007
NEG,1,10/01/2007
NEG,1,11/01/2007
NEG,0,12/01/2007
NEG,0,02/01/2008
NEG,0,03/01/2008
NEG,1,04/01/2008
NEG,0,05/01/2008
NEG,0,06/01/2008
NEG,0,07/01/2008
NEG,0,08/01/2008
NEG,0,09/01/2008
NEG,0,10/01/2008
NEG,1,11/01/2008
NEG,0,01/01/2009
NEG,0,02/01/2009
NEG,0,04/01/2009
NEG,0,05/01/2009
NEG,0,06/01/2009
NEG,1,07/01/2009
NEG,0,08/01/2009
NEG,1,09/01/2009
NEG,1,10/01/2009
NEG,0,11/01/2009
NEG,0,12/01/2009
NEG,0,01/01/2010
NEG,0,02/01/2010
NEG,0,03/01/2010
NEG,1,04/01/2010
NEG,0,05/01/2010
NEG,2,06/01/2010
NEG,1,07/01/2010
NEG,0,08/01/2010
NEG,0,09/01/2010
NEG,0,10/01/2010
NEG,1,11/01/2010
NEG,0,12/01/2010
NEG,1,01/01/2011
NEG,0,02/01/2011
NEG,1,03/01/2011
NEG,0,04/01/2011
NEG,1,05/01/2011
NEG,1,06/01/2011
NEG,1,07/01/2011
NEG,1,08/01/2011
NEG,0,09/01/2011
NEG,1,10/01/2011
NEG,0,11/01/2011
NEG,1,12/01/2011
NEG,1,01/01/2012
NEG,0,02/01/2012
NEG,1,03/01/2012
NEG,0,04/01/2012
NEG,0,05/01/2012
NEG,1,06/01/2012
NEG,0,07/01/2012
NEG,0,08/01/2012
NEG,4,09/01/2012
NEG,2,10/01/2012
NEG,0,11/01/2012
NEG,0,12/01/2012
